немного;a little bit
некоторое количество;deal
торговец;dealer
дорогой, милый;dear
смерть;death
спор/обсуждать, оспаривать;debate
долг;debt
десятилетие;decade
разрушится, сгнить/разрушение, распад;decay
обман;deceit
лживый;deceitful
обманывать;deceive
приличие, достоинство;decency
приличный, порядочный;decent
обман;deception
обманчивый;deceptive
решать, принимать решение;decide
решение;decision
решающий или решительный;decisive
палуба или пол в автобусе;deck
объявить, заявить;declare
отказываться, отклонять предложение;decline
падение, упадок/клониться, идти к концу;decline
украшать;decorate
уменьшать/уменьшение;decrease
решение, определение, указ;decree
дряхлый, ветхий;decrepit
преданный, убеждЮнный;dedicated
преданность;dedication
отнимать, вычитать;deduct
дело, поступок;deed
полагать, считать;deem
глубокий;deep
олень;deer
поражение/наносить поражение;defeat
защищать;defend
защита;defense
откладывать;defer
нехватка, неполноценность;deficiency
определять;define
определЮнно;definitely
определение;definition
игнорировать, пренебрегать;defy
вырождаться/выродившийся;degenerate
убавлять, уменьшать, приходить в упадок;degrade
степень, ступень, порядок;degree
откладывать/отсрочка;delay
убрать, вычеркнуть;delete
обдумывать/обдуманный;deliberate
раздумия;deliberation
тонкий, искусный, деликатный;delicate
восхитительный, прелестный;delicious
удовольствие, восторг/наслаждаться;delight
доставлять, привозить;deliver
произносить;deliver
доставка;delivery
вводить в заблуждение, обманывать;delude
обман;delusion
(экон.) спрос;demand
требовать/требование;demand
унижать;demean
доказывать, показывать;demonstrate
логово, берлога, нора;den
отрицание, отказ, опровержение, отречение;denial
означать;denote
обвинять, осуждать, поносить;denounce
густой, плотный;dense
отрицать;deny
уходить, отбывать;depart
отправление, отъезд, уход;departure
зависеть;depend
зависимость;dependence
зависимый;dependent
изображать, описывать;depict
смещать, свергать;depose
вклад/вкладывать;deposit
подавлять, вводить в уныние;depress
снижение, падение, (экон.) депрессия;depression
лишать;deprive
глубина;depth
депутат;deputy
происходить из;derive
происходить от;descend
спускаться;descend
потомок;descendant
спуск;descent
описывать, изображать;describe
описание;description
бросать, оставлять;desert
пустыня;desert
заслуживать;deserve
замысел, план/предназначать, задумывать;design
называть, обозначать;designate
желательный;desirable
желать/желание;desire
стол (письменный);desk
отчаяние/отчаиваться;despair
отчаянный, безнадЮжный;desperate
безумство или отчаяние;desperation
презирать;despise
несмотря;despite
пункт назначения, цель;destination
назначать, предопределять;destine
судьба, удел;destiny
разрушать, уничтожать;destroy
разрушение;destruction
разрушительный;destructive
отделять, отвязывать;detach
отделение или отчуждЮнность;detachment
подробность, деталь;detail
задерживать;detain
открыть, обнаружить;detect
удержать от чего-либо, помешать;deter
определение, определЮнность, решимость;determination
определять;determine
определЮнный или решительный;determined
ненавидеть, питать отвращение;detest
опустошать, разорять;devastate
развивать(ся);develop
развитие;development
средство, приспособление, инструмент;device
чЮрт;devil
придумывать, изобретать;devise
лишЮнный;devoid
посвящать, уделять чему-либо;devote
преданность, увлечение;devotion
пожирать;devour
бриллиант;diamond
дневник;diary
словарь;dictionary
умирать;die
диета;diet
отличаться;differ
разница;difference
разный, другой;different
трудный, сложный;difficult
трудность, сложность;difficulty
рассеивать, распространять;diffuse
копать;dig
переваривать;digest
достоинство, благородство, титул;dignity
усердие, прилежание;diligence
разбавлять;dilute
тусклый;dim
уменьшать, ослаблять, принижать;diminish
обедать;dine
обед;dinner
погрузить, окунуть/погружение;dip
ужасный, полный, крайний;dire
направлять;direct
прямой;direct
направление;direction
грязь;dirt
грязный;dirty
неспособность или нетрудоспособность;disability
инвалид;disabled
не соглашаться;disagree
неприятный;disagreeable
исчезать;disappear
исчезновение;disappearance
разочаровывать;disappoint
разочарование;disappointment
беда, несчастье;disaster
бедственный, гибельный;disastrous
отбрасывать;discard
разгрузиться, разрядить, сбросить;discharge
ученик, последователь;disciple
отрицать, не признавать;disclaim
обнаруживать, раскрывать;disclose
обнаружение, разоблачение;disclosure
разъединять, разобщать;disconnect
недовольство, неудовлетворЮнность;discontent
скидка;discount
обескураживать, отговаривать, расхолаживать;discourage
рассуждение, лекция, доклад;discourse
невоспитанность, невежливость;discourtesy
открывать, узнавать;discover
открытие;discovery
позорить;discredit
осторожный, благоразумный;discreet
благоразумие;discretion
отличать, выделять одно от другого;discriminate
обсуждать;discuss
обсуждение;discussion
презирать/презрение;disdain
болезнь;disease
немилость, неодобрение;disfavor
позор, бесчестие/позорить;disgrace
маскировка, маска/маскировать;disguise
отвращение;disgust
блюдо;dish
приводить в уныние;dishearten
не любить/нелюбовь;dislike
отпустить, прогнать, избавиться, отбросить;dismiss
неповиновение;disobedience
не повиноваться;disobey
беспорядок/приводить в беспорядок;disorder
беспорядочный (человек);disorderly
неравенство, несоответствие;disparity
разгонять, рассеивать;dispel
обходиться без;dispense with
распределять;dispense
разгонять или расходиться;disperse
показывать, проявлять;display
не нравиться, раздражать;displease
расположение;disposal
располагать;dispose
спор, дебаты/обсуждать, спорить;dispute
не обращать внимания/равнодушие, игнорирование;disregard
неуважение/относиться непочтительно;disrespect
не удовлетворять;dissatisfy
разногласие/расходиться во мнениях;dissent
рассеять, разогнать;dissipate
растворяться;dissolve
расстояние;distance
дальний;distant
неприязнь/не любить;distaste
отдельный, особый, отчЮтливый;distinct
различие;distinction
различать;distinguish
искажать;distort
отвлекать;distract
горе, страдание/причинять страдание;distress
распределять;distribute
распределение;distribution
район, округ;district
не доверять/недоверие;distrust
беспокоить, тревожить;disturb
нарушение, тревога, беспокойство;disturbance
канава, яма;ditch
нырять/ныряние;dive
иной, разный, разнообразный;diverse
многообразие;diversity
отводить, отвлекать;divert
делить, отделять, разделять;divide
божественный;divine
разделение;division
развод;divorce
обходиться без;do without
пристань;dock
убежать, увернуться;dodge
скупо выделять;dole
область, сфера;domain
преобладающий, господствующий;dominant
преобладать;dominate
господство, преобладание;domination
владение или власть;dominion
дарить, жертвовать;donate
дар, пожертвование;donation
осЮл;donkey
обрекать, осуждать на/рок, судьба;doom
порог;doorstep
дверной проЮм или путь к чему-либо (перен.);doorway
(разг.) наркотик;dope
точка или пятнышко;dot
двойной/удваивать;double
сомнение/сомневаться;doubt
сомнительный;doubtful
несомненный;doubtless
падение, гибель;downfall
вниз, на нижний этаж;downstairs
ухудшающийся, нисходящий;downward
дюжина;dozen
план, проект, набросок/составлять план и т. д.;draft
тащить;drag
дракон;dragon
водосток, канализация/осушать;drain
решительный, крутой, радикальный;drastic
тянуть, вытягивать, выводить (заключение);draw
препятствие или недостаток;drawback
ящик стола;drawer
страх/бояться;dread
ужасный;dreadful
мечта/мечтать;dream
сон/видеть сон;dream
одежда/одеваться;dress
сверлить, бурить/сверло;drill
капать/капанье;drip
вести машину;drive
вести, гнать, приводить;drive
капля/капать;drop
падать, ронять, бросать вниз;drop
засуха;drought
тонуть или топить;drown
наркотик;drug
барабан;drum
пьяный;drunk
пьяница;drunkard
пьянство;drunkenness
сухой;dry
утка;duck
чувак;dude
должное, то, что причитается;due
обусловленный;due
скучный;dull
тупой;dull
(разг.) тупой, глупый;dumb
свалка/сваливать;dump
простофиля, жертва обмана/обманывать;dupe
копия, дубликат;duplicate
двуличие;duplicity
надЮжный, долговременный;durable
продолжительность;duration
во время;during
пыль, прах;dust
долг;duty
карлик или гном;dwarf
жить, обитать;dwell
окрашивать/краска;dye
активный, энергичный;dynamic
друг друга (-ом, -у, -е);each other
каждый;each
сильно желающий, нетерпеливый, энергичный;eager
рвение;eagerness
орЮл;eagle
ухо;ear
ранний/рано;early
зарабатывать или заслуживать;earn
серьЮзный;earnest
заработок;earnings
серьга;earring
земля;earth
землетрясение;earthquake
лЮгкость;ease
восток;east
эхо;echo
затмевать/затмение;eclipse
экономика (наука);economics
экономика (хозяйство);economy
восторг, экстаз;ecstasy
край;edge
раздражительный;edgy
съедобный;edible
поучать, наставлять;edify
редактировать, готовить к изданию;edit
воспитывать, тренировать, учить;educate
образование;education
следствие, результат/выполнять, совершать;effect
действующий, действенный;effective
действенность, результативность;efficiency
действенный, продуктивный;efficient
усилие или достижение;effort
яйцо;egg
один из двух, тот или другой;either
также (при отрицании);either
продуманный, разработанный/тщательно разрабатывать;elaborate
локоть;elbow
старший (в семье);elder
избирать на должность;elect
выборы;election
электричество;electricity
слон;elephant
лифт;elevator
подходящий, желательный;eligible
устранять, ликвидировать;eliminate
устранение;elimination
красноречие;eloquence
красноречивый, выразительный;eloquent
ещЮ, кроме/другой;else
где-то ещЮ;elsewhere
отправляться, грузиться (на корабль);embark
смущать, приводить в замешательство;embarrass
затруднение, препятствие, замешательство;embarrassment
посольство;embassy
охватывать, включать в себя или обнимать;embrace
появляться, возникать;emerge
критическое положение или непредвиденный случай;emergency
выдающийся;eminent
император;emperor
выразительность;emphasis
империя;empire
нанимать;employ
работник;employee
работодатель;employer
служба, занятие, применение;employment
пустой/опустошать;empty
давать возможность;enable
вводить закон, предписывать;enact
очаровывать;enchant
окружать, заключать;enclose
встреча/неожиданно встретить;encounter
ободрять, поощрять, подстрекать;encourage
оканчиваться (чем-либо);end up
подвергать опасности;endanger
попытка, старание/стараться, прилагать усилия;endeavor
бесконечный;endless
одобрять;endorse
дарование;endowment
конечный результат, конечная точка;endpoint
выносливость, стойкость;endurance
выносить, терпеть;endure
длиться, продолжаться;endure
враг;enemy
энергичный;energetic
заворачивать;enfold
заставлять, принуждать;enforce
заниматься;engage
дело, занятие, свидание, встреча;engagement
двигатель;engine
техника, машины;engineering
поглощать, занимать;engross
поглощать;engulf
усиливать;enhance
загадка;enigma
наслаждаться;enjoy
наслаждение;enjoyment
расширять, увеличивать;enlarge
вражда, неприязнь;enmity
огромный;enormous
достаточно, вполне;enough
обогащать;enrich
получаться в результате, следовать;ensue
обеспечивать, гарантировать;ensure
влечь за собой;entail
запутывать;entangle
входить или вступать;enter
предприятие, предприимчивость или предпринимательство;enterprise
развлечь;entertain
развлечение;entertainment
весь, целый;entire
всецело, полностью;entirely
давать право;entitle
сущность, нечто реальное;entity
вход;entrance
вверять;entrust
вход;entry
конверт или обложка;envelope
завистливый;envious
окружающая среда;environment
относящийся к окружающей среде;environmental
посланник, доверенное лицо;envoy
зависть/завидовать;envy
равный/быть равным или делать равными;equal
равенство;equality
уравнивать;equalize
равновесие;equilibrium
снаряжать, экипировать;equip
оснащение, оборудование;equipment
справедливый, беспристрастный;equitable
стирать, счищать, сглаживать;erase
прямой, вертикальный/сооружать, воздвигать;erect
разъедать;erode
ошибаться;err
поручение, командировка;errand
ошибка;error
избежать, спастись/избежание;escape
особенно;especially
шпионаж;espionage
сущность, основа;essence
необходимый, существенный/неотъемлемая часть;essential
основывать, устанавливать;establish
учреждение, ведомство;establishment
имущество;estate
уважение/уважать;esteem
оценка/оценивать;estimate
вечный, неизменный;eternal
вечность;eternity
избегать, уклоняться;evade
оценивать;evaluate
оценка;evaluation
даже;even
ровный;even
событие;event
в конце концов;eventually
когда-либо;ever
вечный, длительный;everlasting
каждый;everyone
везде;everywhere
доказательство;evidence
очевидный;evident
злой/зло;evil
развивать(ся), эволюционировать;evolve
точный;exact
преувеличивать;exaggerate
преувеличение;exaggeration
возвышенный, благородный;exalted
экзамен или допрос;examination
исследовать, расследовать, допрашивать;examine
пример;example
превышать, превосходить;exceed
превосходить, выделяться;excel
превосходство;excellence
превосходный;excellent
превосходный, отличный;excellent
кроме, за исключением/исключать;except
исключение;exception
исключительный;exceptional
избыток;excess
чрезмерный;excessive
обмен/обменивать;exchange
возбуждать, волновать;excite
возбуждение, волнение;excitement
восклицательный знак;exclamation point
восклицание;exclamation
исключать;exclude
исключение;exclusion
простительный;excusable
извинение, оправдание/извинить;excuse
повод;excuse
выполнить;execute
выполнение;execution
казнь;execution
должностное лицо, руководитель/исполнительный;executive
свободный от чего-либо/освобождать;exempt
упражнение/упражняться;exercise
напрягать;exert
напряжение;exertion
истощать, выматывать;exhaust
изнеможение;exhaustion
показывать, проявлять, выставлять;exhibit
изгнание, ссылка/изгонять;exile
существовать;exist
существование;existence
существующий, проиходящий;existent
выход;exit
расширять(ся);expand
расширение, экспансия;expansion
ожидать, рассчитывать, надеяться;expect
ожидание;expectation
выгонять, исключать, выбрасывать;expel
трата, расход;expenditure
трата, расход;expense
дорогой;expensive
опыт/испытывать;experience
опытный;experienced
знаток;expert
знания, опыт;expertise
выдыхаться, кончаться, угасать;expire
объяснять;explain
объяснение;explanation
ясный, явный;explicit
взрывать;explode
эксплутатировать;exploit
исследовать;explore
взрыв, вспышка;explosion
взрывчатый или взрывной/взрывчатка;explosive
подвергать;expose
подвергание, выставление;exposure
выражать;express
выражение;expression
расширяться, распространяться;extend
расширение;extension
обширный, пространный;extensive
протяжение, степень, мера;extent
внешний/внешний вид;exterior
искоренять, истреблять;exterminate
наружный, внешний;external
вымерший;extinct
вымирание;extinction
угасать;extinguish
лишний, дополнительный;extra
извлекать;extract
необычайный, выдающийся;extraordinary
крайний;extreme
бровь;eyebrow
очки;eyeglasses
басня, миф, легенда;fable
ткань, материал;fabric
невероятный, легендарный;fabulous
встречаться, сталкиваться;face
лЮгкость, удобство;facility
завод;factory
способность, дар;faculty
увядать, угасать, блекнуть;fade
потерпеть неудачу;fail
неудача, провал или неудачник;failure
слабый, недостаточный;faint
прекрасный;fair
честный, справедливый;fair
воображаемый, сказочный;fairy
вера или верность;faith
верный, преданный;faithful
подделывать/подделка/подделывать;fake
развалиться;fall apart
влюбиться;fall in love with
ссориться;fall out
споткнуться;fall over
осень (амер.);fall
падать, опускаться;fall
ошибка, заблуждение;fallacy
ложный;false
ложь, неправда;falsehood
ложность;falsity
спотыкаться, запинаться, колебаться;falter
слава;fame
знакомый, известный;familiar
голод;famine
знаменитый;famous
полагать, предполагать;fancy
фантазировать/фантазия;fancy
дальний;far
далЮкий;faraway
плата за проезд;fare
прощай!;farewell
ферма;farm
дальше;farther
очаровательный;fascinating
прелесть, очарование;fascination
фашистский/фашист;fascist
мода;fashion
модный;fashionable
быстрый;fast
прикреплять, завязывать;fasten
жирный/жир;fat
обезжиренный;fat-free
роковой, губительный;fatal
судьба, удел;fate
усталость, утомление;fatigue
водопроводный кран;faucet
вина;fault
недостаток;fault
безупречный;faultless
"польза, интерес (в ч-л. пользу"")""";favor
услуга, помощь;favor
благоприятный;favorable
любимый;favorite
страх/бояться;fear
боязливый;fearful
бесстрашный;fearless
праздник или пир/праздновать;feast
проявление большого умения или подвиг;feat
перо;feather
особенность, черта;feature
гонорар, вознаграждение;fee
слабый;feeble
питаться;feed on
кормить/кормление;feed
хотеть;feel like
чувствовать;feel
щупать;feel
чувство;feeling
притворяться, симулировать;feign
товарищ или просто чувак;fellow
женский/женщина, самка;female
забор;fence
свирепый;ferocious
перевоз, переправа/перевозить;ferry
плодородный, плодовитый;fertile
принести, привести, достать;fetch
жар, лихорадка;fever
немногие, мало кто;few
вымысел или художественная литература;fiction
скрипка;fiddle
верность;fidelity
область знаний;field
поле;field
свирепый;fierce
огненный, горящий, пламенный;fiery
драться, бороться/бой, драка, спор, борьба;fight
понять, уяснить;figure out
цифра;figure
предоставлять, подавать документ;file
заполнять;fill
грязный, мерзкий, дерьмовый;filthy
последний;final
оказаться;find oneself
выяснить, узнать;find out
тонкий;fine
хороший, годный;fine
штраф, пеня;fine
палец;finger
ограниченный, конечный;finite
огонь/зажигать;fire
увольнять;fire
огнестрельное оружие;firearms
пожарник;fireman
твЮрдый, крепкий;firm
рыба;fish
рыболов;fisherman
рыбалка;fishing
кулак;fist
годный, подходящий/подходить по размеру;fit
укреплять, устанавливать;fix
уладить;fix
ослабевать, уменьшаться;flag
чутьЮ, способность;flair
хлопья;flakes
пламя;flame
сверкать, вспыхивать/сверкание;flash
плоский;flat
льстить;flatter
лесть;flattery
вкус или аромат;flavor
порок, брак, недостаток;flaw
блоха;flea
бежать, спасаться бегством или избегать;flee
флот или флотилия;fleet
плоть, тело, мясо;flesh
гибкость;flexibility
гибкий;flexible
полЮт;flight
бросать;fling
плавать, всплывать;float
стадо;flock
поток, наводнение/затоплять;flood
пол;floor
провал/провалиться, потерпеть неудачу;flop
мука;flour
процветать;flourish
поток, течение/течь;flow
цветок;flower
гладкий, беглый, текущий;fluent
жидкий, текучий, меняющийся;fluid
провалиться (на экзамене)/провал;flunk
беспокойство/волновать;flurry
прилив, поток/лить, смывать;flush
порхать, махать крыльями/порхание;flutter
муха;fly
пена;foam
сосредоточить;focus
враг;foe
туман;fog
сворачивать, складывать;fold
народ, люди;folk
следовать;follow
последователь;follower
глупость;folly
любящий, помешанный на чЮм-либо;fond
еда;food
дурак/дурачить;fool
глупый;foolish
ступня;foot
пока, на время;for a while
например;for instance
за так;for nothing
ради, во имя;for the sake of
запрещать;forbid
вынуждать;force
сила;force
сильно или насильственно;forcibly
предвещать, предчуствовать;forebode
предсказывать/предсказание;forecast
предок;forefather
лоб;forehead
иностранный или внешний (о политике);foreign
иностранец;foreigner
передний, передовой;foremost
предвидеть;foresee
предвидение, предусмотрительность;foresight
лес;forest
предсказывать;foretell
навсегда;forever
расплачиваться/расплата;forfeit
ковать;forge
простительный;forgivable
прощать;forgive
прощение;forgiveness
вилка;fork
бывший;former
первый (из двух);former
страшный или громадный;formidable
внебрачная связь, блуд;fornication
оставлять, покидать;forsake
наружу, вперЮд или впредь;forth
укреплять, поддерживать;fortify
счастливый, удачный;fortunate
богатство, состояние;fortune
удача;fortune
вперЮд;forward
питать, поощрять;foster
гадкий, грязный, скверный;foul
закладывать, основывать;found
основание, фундамент;foundation
фонтан;fountain
лиса;fox
ломать/перелом;fracture
хрупкий, ломкий;fragile
рамка/вставлять в рамку;frame
строение, структура, система;frame
структура, рамка;framework
искренний, честный;frank
неистовый, безумный;frantic
обман;fraud
чудной человек;freak
бесплатный;free
свободный/освобождать;free
свобода;freedom
замораживать, замерзать;freeze
часто повторяющийся;frequent
часто посещать;frequent
свежий, новый, здоровый;fresh
беспокоиться, мучиться/раздражение, мучение;fret
дружеский, дружелюбный;friendly
дружба;friendship
испуг;fright
пугать;frighten
ужасный, противный;frightful
пустой, легкомысленный;frivolous
лягушка;frog
перед/передний;front
граница;frontier
мороз;frost
хмуриться;frown
плод, фрукт;fruit
расстраивать;frustrate
расстройство, разочарование;frustration
жарить;fry
трахаться;fuck
топливо;fuel
беглец;fugitive
выполнять, осуществлять;fulfil
полный;full
веселье, забава;fun
запас, фонд;fund
похороны/похоронный;funeral
забавный, смешной;funny
мех, шерсть;fur
взбешенный, неистовый;furious
обставлять комнату, квартиру;furnish
предоставлять;furnish
мебель;furniture
дальшейший;further
кроме того, к тому же;furthermore
ярость;fury
будущий/будущее (сущ.);future
прибыль, выгода, выигрыш/выигрывать, получать прибыль;gain
храбрый;gallant
азартная игра/играть в азартные игры;gamble
дичь;game
банда;gang
брешь, пробел, промежуток;gap
мусор;garbage
сад;garden
предмет одежды;garment
автозаправка;gas station
бензин, горючее;gas
бензин;gasoline
дышать с трудом/затруднЮнное дыхание, удушье;gasp
ворота;gates
собирать;gather
гомосексуалист;gay
пристальный взгляд/пристально глядеть;gaze
механизм, приспособление;gear
пол (м/ж);gender
общий, повсеместный, обычный;general
обобщение;generalization
в общем, обычно;generally
поколение;generation
великодушие или щедрость;generosity
великодушный или щедрый;generous
гений;genius
мягкий, нежный;gentle
подлинный, истинный;genuine
жест/жестикулировать;gesture
уходить от;get away
опуститься;get down
вступить в контакт;get in touch
войти;get into
жениться или выйти замуж;get married
уйти, выбраться;get out
избавиться;get rid of
привыкать;get used
становиться, приобретать свойство;get
ужасный, неприятный;ghastly
привидение;ghost
великан/гиганский;giant
дар, способность;gift
подарок/дарить;gift
золотить;gild
рожать;give birth
отказываться;give up
ледник;glacier
довольный, радостный;glad
взгляд;glance
стакан или рюмка;glass
стекло;glass
слабый свет или отблеск/мерцать, блестеть;gleam
мелькание, проблеск/мимолЮтом увидеть;glimpse
блестеть, сверкать/блеск, сверкание;glitter
земной шар;globe
мрак, уныние/хмуриться;gloom
славный, великолепный;glorious
слава;glory
внешний блеск, глянец;gloss
перчатка;glove
жар, или свет/накаляться;glow
клей/клеить;glue
ходить туда-сюда, делать круги и т. п.;go about
проходить мимо;go by
сходить с ума;go mad
сходить с ума;go nuts
происходить или продолжаться;go on
цель;goal
козЮл;goat
бог, божество;god
богиня;goddess
золото;gold
золотой (обычно перен.);golden
намеревающийся;gonna (going to)
много;good deal
товары, вещи;goods
гусь;goose
великолепный, пышный;gorgeous
евангелие или проповедь;gospel
сплетня/сплетничать;gossip
управлять, регулировать;govern
правительство или управление;government
губернатор;governor
схватить, захватить/захват;grab
изящество, приличие, любезность;grace
изящный, приятный;graceful
добрый, милостивый, снисходительный;gracious
степень, ранг, уровень;grade
постепенный;gradual
оканчивать универ, выпускаться;graduate
зерно или песчинка;grain
великий, главный, важный;grand
дарить, давать/дар;grant
виноград;grape
хватать/хватка;grasp
трава;grass
благодарный;grateful
радовать, доставлять удовольствие;gratify
благодарность;gratitude
могила;grave
серьЮзный;grave
серьЮзность;gravity
пасти(сь);graze
жир, смазка/смазывать;grease
большой, сильный, великий;great
жадность;greed
жадный;greedy
приветствовать;greet
приветствие;greeting
горе;grief
огорчать или горевать;grieve
мрачный, зловещий;grim
скалиться, ухмыляться/оскал, усмешка;grin
молоть;grind
схватить;grip
простой, грубый, крупный;gross
взрослеть, расти;grow up
расти, вырастать;grow
рычать, ворчать/рычание, ворчание;growl
взрослый;grown-up
рост;growth
недовольство, недоброжелательство;grudge
ворчать, жаловаться/ворчание;grumble
гарантировать/гарантия;guarantee
охранять/охрана;guard
опекун, попечитель;guardian
партизан/партизанский;guerrilla
предположение, догадка/угадывать;guess
гость;guest
вести, направлять/проводник, руководитель;guide
вина;guilt
виновный;guilty
бездна, пропасть или залив;gulf
любое огнестрельное оружие;gun
порох;gunpowder
кишки или смелость (разг);guts
(разг.) человек, чувак;guy
цыган/цыганский;gypsy
привычка;habit
обычный, привычный;habitual
рубить, тесать;hack
привет;hail
волосы, шерсть;hair
стрижка;haircut
половина;half
полпути;halfway
зал, большая комната, приЮмная;hall
останавливаться, делать привал/остановка, привал;halt
делить пополам;halve
молоток/вбивать, стучать молотком;hammer
хомяк;hamster
горсть, пригоршня, в т. ч. в перен. смысле;handful
рукоятка/брать, обращаться с, управлять;handle
рукопожатие;handshake
красивый (о мужчинах);handsome
удобный;handy
шататься вокруг, околачиваться;hang around
положить (повесить) трубку;hang up
вешать, висеть;hang
палач;hangman
похмелье;hangover
случаться;happen
счастье;happiness
беспокоить, тревожить, утомлять;harass
гавань, убежище;harbor
жЮсткий, твЮрдый;hard
тяжЮлый, сложный;hard
усердный (о работе);hard
твердеть, засыхать, черстветь;harden
едва ли;hardly
заяц;hare
вред, ущерб;harm
вредный;harmful
безвредный;harmless
грубый, жЮсткий, суровый;harsh
урожай;harvest
поспешность, спешка;haste
спешить, торопить, ускорять;hasten
поспешный или быстрый;hasty
шляпа;hat
топорик;hatchet
ненавистный или ненавидящий;hateful
ненависть;hatred
тянуть, тащить, перевозить;haul
преследовать (о мыслях, призраках и т. п.);haunt
получать удовольствие, развлекаться;have fun
ястреб;hawk
сено;hay
риск, опасность;hazard
заголовок;headline
излечивать, исцелять;heal
здоровье;health
здравоохранение;healthcare
здоровый;healthy
куча/нагромождать в кучу;heap
сердце;heart
бессердечный, бесжалостный;heartless
тепло, жара/нагревать;heat
небеса;heaven
тяжЮлый;heavy
забор;hedge
внимание/обращать внимание;heed
пятка;heel
высота;height
наследник;heir
вертолЮт;helicopter
ад;hell
шлем;helmet
полезный;helpful
беспомощный;helpless
полушарие;hemisphere
конопля;hemp
курица;hen
следовательно, отсюда;hence
вестник;herald
трава, растение;herb
стадо/пасти стадо;herd
потом, в будущем;hereafter
ересь;heresy
еретик;heretic
герой;hero
колеблющийся, нерешительный;hesitant
колебаться;hesitate
колебание, нерешительнотсь;hesitation
скрытый;hidden
скрывать;hide
страшный, отвратительный;hideous
высокий;high
шоссе, большая дорога;highway
холм;hill
мешать, препятствовать;hinder
помеха;hindrance
намЮк/намекать;hint
нанимать;hire
шипение, свист/шипеть, свистеть;hiss
историк;historian
исторический (факт, объект и т. д.);historical
история;history
попадать/попадание;hit
удар/ударять;hit
привязывать, цеплять;hitch
запасать, копить/запас;hoard
хрипой;hoarse
обман, мистификация;hoax
удерживаться, воздерживаться;hold off
держать;hold
дырка или нора;hole
праздник;holiday
пустой, полый;hollow
святой;holy
родина;homeland
бездомный;homeless
простой, обычный, невзрачный;homely
честный;honest
честность;honesty
мЮд;honey
медовый месяц;honeymoon
честь, честность/чтить;honor
честный, порядочный;honorable
крючок;hook
прыгать/прыжок;hop
надеяться/надежда;hope
надеющийся;hopeful
безнадЮжный;hopeless
горизонт;horizon
рог;horn
страшный, отвратительный;horrible
ужас или отвращение;horror
лошадь;horse
больница;hospital
гостеприимство;hospitality
хозяин (по отношению к гостю);host
заложник или залог;hostage
вражеский или враждебный;hostile
военные действия;hostility
враждебность;hostility
горячий;hot
охотничья собака;hound
домашняя работа;household
однако;however
выть/вой;howl
обнимать/крепкое объятие;hug
огромный;huge
человеческий/человек, смертный;human
человечество или человечность;humanity
скромный;humble
обман, притворство/обманывать;humbug
унижать;humiliate
унижение;humiliation
смирение;humility
юмор;humor
горб;hump
сто;hundred
голод/голодать;hunger
голодный;hungry
охотиться/охота;hunt
охотник;hunter
бросать/бросок;hurl
ураган;hurricane
торопливость, спешка/торопить;hurry
боль/причинять боль;hurt
муж;husband
шелуха, оболочка;husk
торопиться, суетиться;hustle
хижина, барак;hut
активно рекламировать/шумная реклама;hype
лицемерие;hypocrisy
лЮд;ice
документ, удостоверяющий личность;ID
понятие, представление;idea
одинаковый, тот же самый;identical
узнать, распознать;identify
личность, индивидуальность;identity
незанятый/бездельничать;idle
праздность, лень, безделие;idleness
низкий, постыдный;ignoble
невежество;ignorance
невежественный;ignorant
игнорировать;ignore
больной;ill
незаконный;illegal
неграмотность;illiteracy
неграмотный;illiterate
болезнь;illness
освещать, озарять;illuminate
образ;image
вымышленный, мнимый;imaginary
воображение;imagination
вообразить, представить;imagine
подражать;imitate
безмерный, неизмеримый;immeasurable
